"lclsSystm2Cd","lclsSystm2Nm","parent_lclsSystm1Cd"
SH02,쇼핑몰,SH
EX07,기타체험,EX
AC02,콘도미니엄,AC
VE05,복합관광시설,VE
AC01,호텔,AC
NA05,기타자연관광,NA
VE09,교육시설,VE
VE11,교통시설,VE
NA01,자연경관(산),NA
SH03,대형마트,SH
VE04,도시.지역문화관광,VE
FD04,주점,FD
C0114,힐링코스,C01
EX02,공예체험,EX
VE10,레저스포츠시설,VE
SH06,시장,SH
LS03,항공레저스포츠,LS
NA04,자연공원,NA
EX06,산업관광,EX
HS04,안보관광지,HS
AC03,펜션/민박,AC
NA02,자연경관(하천‧해양),NA
EV02,공연,EV
SH04,면세점,SH
EX03,농.산.어촌 체험,EX
EX01,전통체험,EX
NA03,자연생태,NA
HS01,역사유적지,HS
C0113,나홀로코스,C01
SH07,기타쇼핑시설,SH
C0115,도보코스,C01
LS04,복합레저스포츠,LS
FD05,카페/ 찻집,FD
VE06,공연시설,VE
SH01,백화점,SH
LS02,수상레저스포츠,LS
HS02,역사유물,HS
VE07,전시시설,VE
FD01,한식,FD
AC05,캠핑,AC
FD03,간이음식,FD
AC04,모텔,AC
AC06,호스텔,AC
EV03,행사,EV
EX05,웰니스관광,EX
C0117,맛코스,C01
EX04,산사체험,EX
VE01,랜드마크관광,VE
EV01,축제,EV
C0116,캠핑코스,C01
VE12,기타문화관광지,VE
FD02,외국식,FD
C0112,가족코스,C01
VE03,도시공원,VE
VE08,행사시설,VE
LS01,육상레저스포츠,LS
SH05,전문매장/상가,SH
HS03,종교성지,HS
VE02,테마공원,VE
